"name";"region_code";"since_date";"till_date";"range_start";"range_end";"price_amount";"created_at"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"0";"50";"2100";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"50";"52";"2031";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"52";"54";"1967";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"54";"56";"1907";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"56";"58";"1852";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"58";"60";"1800";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"60";"62";"1752";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"62";"64";"1706";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"64";"66";"1664";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"66";"68";"1624";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"68";"70";"1586";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"70";"72";"1550";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"72";"74";"1516";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"74";"76";"1484";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"76";"78";"1454";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"78";"80";"1425";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"80";"82";"1398";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"82";"84";"1371";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"84";"86";"1347";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"86";"88";"1323";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"88";"90";"1300";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"90";"92";"1278";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"92";"94";"1257";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"94";"96";"1238";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"96";"98";"1218";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"98";"100";"1200";"2023-01-14 06:51:49"
"Ростовская область";"061";"2023-01-14 09:10:23";"2023-02-03 16:42:22";"100";"110";"1127";"2023-01-14 06:51:49"
