"name";"short_name";"since_date";"till_date";"range_start";"range_end";"price_amount";"created_at"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"0";"50";"5000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"50";"100";"5000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"100";"150";"5000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"150";"200";"5000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"200";"250";"5000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"250";"300";"5000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"300";"350";"1000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"350";"400";"1000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"400";"450";"1000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"450";"500";"1000";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"500";"550";"200";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"550";"600";"200";"2024-06-02 17:22:39"
"Архангельская область";"029";"2024-06-02 17:22:44";\N;"600";\N;"200";"2024-06-02 17:22:39"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"0";"50";"1500";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"50";"52";"1452";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"52";"54";"1407";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"54";"56";"1365";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"56";"58";"1326";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"58";"60";"1290";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"60";"62";"1256";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"62";"64";"1224";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"64";"66";"1195";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"66";"68";"1166";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"68";"70";"1140";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"70";"72";"1115";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"72";"74";"1091";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"74";"76";"1069";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"76";"78";"1048";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"78";"80";"1028";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"80";"82";"1008";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"82";"84";"990";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"84";"86";"973";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"86";"88";"956";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"88";"90";"940";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"90";"92";"925";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"92";"94";"910";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"94";"96";"896";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"96";"98";"883";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"98";"100";"870";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"100";"110";"813";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"110";"120";"765";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"120";"130";"725";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"130";"140";"690";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"140";"150";"660";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"150";"175";"614";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"175";"200";"580";"2024-06-07 12:47:36"
"Воронежская область";"036";"2024-06-07 13:42:39";"2024-06-21 13:53:46";"200";"225";"551";"2024-06-07 12:47:36"
